event,category,file,source,bytes,sha256
AmateursCTF-2024,Misc,amateursctf_2024_cookie.md,D:/CTF/data/writeups/misc/amateursctf_2024_cookie.md,3217,1c0cda7b118a2ea9e78bfc698cbb8148e735a3b27f08dd5b4cbd751b285408ba
AmateursCTF-2024,Misc,amateursctf_2024_fixpoint.md,D:/CTF/data/writeups/misc/amateursctf_2024_fixpoint.md,2511,c79dae7095ee4fdb9003fbac835461228f53d79500f7bbcf719c19aeec4e5e12
AmateursCTF-2024,Pwn,amateursctf_2024_buffer_overflow.md,D:/CTF/data/writeups/pwn/amateursctf_2024_buffer_overflow.md,4320,735c32d9c7a9496976891d7698f06fae67909f2c8ddbc3cdc6b35fa9e5290100
AmateursCTF-2024,Web,amateursctf2024_one_shot.md,D:/CTF/data/writeups/web/amateursctf2024_one_shot.md,2007,4e7776129356f6d7c0a330982b39b5468ea986db974e34d0e9d1820ee0568d41
BroncoCTF-2026,Crypto,broncoctf2026_grandmas_secret.md,D:/CTF/data/writeups/crypto/broncoctf2026_grandmas_secret.md,4012,04e7caaa839a512b110bc4a515e944d89f2cdb4ede4f2090f0811f4490d2bfc7
BroncoCTF-2026,Misc,broncoctf2026_github_writeup.md,D:/CTF/data/writeups/unknown/broncoctf2026_github_writeup.md,5226,bb4d8679fd29ccb8aa88cdfd1a8e6c76d6d28f18b53506cdc3a1bcf1b10168d7
BroncoCTF-2026,Reverse,broncoctf2026_blorg_multiplier.md,D:/CTF/data/writeups/rev/broncoctf2026_blorg_multiplier.md,4780,f0ce942d8b14fab2ec297ed8b8eefabe865d1fd2447e01a9145c599e71e1d40a
BushBash,Crypto,bushbash_strawberries.md,D:/CTF/data/writeups/crypto/bushbash_strawberries.md,1207,7fb626155084c277e7dfadb9e148ef8456cef976e430486575784f03688cc86c
BushBash,Misc,bushbash_angle_brackets.md,D:/CTF/data/writeups/misc/bushbash_angle_brackets.md,1485,ed49e4770405fa6782a4315aa27d1ad3e4621ae4b5b2e140fe728baa2e62eb6c
BushBash,Misc,bushbash_beat_around_the_bush.md,D:/CTF/data/writeups/misc/bushbash_beat_around_the_bush.md,647,3c4f6ab778d525989fd6e7f4a189d603796a515ad79db04b870295a1194421a7
BushBash,Misc,bushbash_password.md,D:/CTF/data/writeups/misc/bushbash_password.md,1559,e7d6722fa75e7b5de487ba2f6ebea4fff3ce34203284e9e7067249c206f9565a
BushBash,Pwn,bushbash_cachebrowns.md,D:/CTF/data/writeups/pwn/bushbash_cachebrowns.md,2838,37f01fa7a2fcf63d592d4ece73a940f92e48492c9e0e5d1eb0c2031c6148a24a
BushBash,Pwn,bushbash_hack_the_vault.md,D:/CTF/data/writeups/pwn/bushbash_hack_the_vault.md,1118,c7e648487260a221cd97a9ff34b4c22736a5c0702013907d84e0e57e6d643cf9
BushBash,Pwn,bushbash_hack_the_vault_ii.md,D:/CTF/data/writeups/pwn/bushbash_hack_the_vault_ii.md,1699,7b2563f5e9f31c4f31c310656cf6b97deedfac8c1437fa0ae81e4d112e70407c
BushBash,Reverse,bushbash_template_cipher.md,D:/CTF/data/writeups/reverse/bushbash_template_cipher.md,2156,4d199f3a7fe2e84608b53d69cf96d38d60b7cb7ad8910e397c5e5173640d1404
CyberStrike-2K26,Crypto,cyberstrike_iron_vault_ecb_splicing.md,D:/CTF/data/writeups/crypto/cyberstrike_iron_vault_ecb_splicing.md,1765,ec70b2aa0526c2f4b95b261b1b29cb48e7ff1a4418aeb4fd56bad8e7e9c264ae
CyberStrike-2K26,Reverse,cyberstrike_antidebugantics.md,D:/CTF/data/writeups/reverse/cyberstrike_antidebugantics.md,2096,f8fc4807d841bfd1af1ce499981b1b7c9aa8dc6f34725586afa2b4ae3bdce99f
Jersy,Crypto,jersy_darkside.md,D:/CTF/data/writeups/crypto/jersy_darkside.md,4658,a64a29243676aed908491f8f96fb36a45921d2f852e95f0267ef34fb9cc60b23
Jersy,Crypto,jersy_darkside_aes_cbc.md,D:/CTF/data/writeups/crypto/jersy_darkside_aes_cbc.md,1131,f23dbe98fa235d15e6afdf1752c208b01099610c257ef012bf458c59804b7b06
Jersy,Misc,jersy_ctftime_writeup.md,D:/CTF/data/writeups/unknown/jersy_ctftime_writeup.md,8533,db66d89e6b2cc0d943c5f0641a3031b8ef80419f85d12119b7dd1456fadd8005
K17-CTF-2026,Crypto,k17_shamir_secret_spilling.md,D:/CTF/data/writeups/crypto/k17_shamir_secret_spilling.md,998,75ec117912ef634e6567d0f8fbb45300436c3a0d1d3fb8b699811e33cd453c76
K17-CTF-2026,Pwn,k17ctf_2026_big_win.md,D:/CTF/data/writeups/pwn/k17ctf_2026_big_win.md,1734,abe1824b534e36bdb6e124aad97b38fdd25839ff8a9f56d7caf93519c4aa0b7e
K17-CTF-2026,Pwn,k17ctf_2026_huge_binary.md,D:/CTF/data/writeups/pwn/k17ctf_2026_huge_binary.md,3622,f7eae362967307ca3ce4a56c031d09f1f27e1505162741b019dcff171f28ff3d
K17-CTF-2026,Reverse,k17_srev.md,D:/CTF/data/writeups/rev/k17_srev.md,1922,1c1ecf083ada0da20ce0e17e978a035f5bc845d14d5fa5bf9eb453fae54a57d0
K17-CTF-2026,Web,k17ctf_2026_java_notes.md,D:/CTF/data/writeups/web/k17ctf_2026_java_notes.md,1992,eb3a9a58044b80284f53c68e2d1b0ac9c7245be08c4e22a9ef87b8c8874b58e9
KaliTeam-CTF-26,Crypto,kali_team_merkles_trapdoor.md,D:/CTF/data/writeups/crypto/kali_team_merkles_trapdoor.md,1165,bf7aad9568be89fbbe7f5c31d20162345548897518aee35ec227ed2b8fefd6ca
KaliTeam-CTF-26,Reverse,kaliteam26_fault_cartography.md,D:/CTF/data/writeups/reverse/kaliteam26_fault_cartography.md,3869,28637f84b774cbe59f180e37af994346eebd73d428cfb007b20203dddf9c31a5
KaliTeam-CTF-26,Web,kaliteam26_robots.md,D:/CTF/data/writeups/web/kaliteam26_robots.md,3502,ee1e1d0fb4d07bd33ba1b5e671036ce602bcd8b1e2d9af3e8b53b5cae24de97f
L3akCTF-2026,Crypto,l3akctf_2026_babylcg.md,D:/CTF/data/writeups/crypto/l3akctf_2026_babylcg.md,658,8d9e193a1a82a0bf5e05dfb82cc8314a8bc8cb21003f5af4a69cb64e8dec2372
L3akCTF-2026,Forensics,l3akctf_2026_l3ak_apt.md,D:/CTF/data/writeups/forensics/l3akctf_2026_l3ak_apt.md,3184,3b708553d91e960b8a21b4bb3f7e72a441773d7055d118f6b643ebb44f8f4084
L3akCTF-2026,Forensics,l3akctf_2026_you_scanned_what.md,D:/CTF/data/writeups/forensics/l3akctf_2026_you_scanned_what.md,2425,cb437f7e3e291cb6fdd3f48ab7904263a977e7918a1a616d625ab152b39c63da
L3akCTF-2026,Misc,l3akctf_2026_ricochet_robots.md,D:/CTF/data/writeups/misc/l3akctf_2026_ricochet_robots.md,2082,c332830ea2f623906c676339bcdb46994287033da28f24e6a3f8c5b23e1ed488
L3akCTF-2026,Misc,l3akctf_RestrictedPython.md,D:/CTF/data/writeups/misc/l3akctf_RestrictedPython.md,4937,de0874ae26723102415e67d7e06207e3f4b953357781642dd5aa86c471d92c74
L3akCTF-2026,Pwn,l3akctf_2026_bosh.md,D:/CTF/data/writeups/pwn/l3akctf_2026_bosh.md,1201,501f404521115958ceffbf8dcae43cb330d2893fe71937dcf24892ebafa07911
LITCTF-2026,Misc,litctf_2026_helloworld.md,D:/CTF/data/writeups/misc/litctf_2026_helloworld.md,1106,081b4b2aeda52114ac866e2b4b5a131ef015a5430ef9206ad714f24f0bf6a7ca
MRU-Online,Crypto,mru_biasedstream.md,D:/CTF/data/writeups/crypto/mru_biasedstream.md,759,0edde8f9a8fe05bbb2d8bb27394e794538db84edea9caf4e16ea3c403d724b62
MRU-Online,Crypto,mru_rollingsilence.md,D:/CTF/data/writeups/crypto/mru_rollingsilence.md,736,64e95a104163ede4fe951853c7b61c9ee451c4110044c892d9ccc1ec11094032
MRU-Online,Crypto,mru_trojan_war.md,D:/CTF/data/writeups/crypto/mru_trojan_war.md,953,f521be77ce6977782ec5867c3f33110d01ffdb242649d267179c9ce555fd74e5
Nexploit-Evil-Corp-2026,Crypto,nexploit_birthday_exploit.md,D:/CTF/data/writeups/crypto/nexploit_birthday_exploit.md,5485,e97826b389b3d9eff19774f45a950ff5fc1afbbfdfb6d4b1a025a366b5eac9ea
Nexploit-Evil-Corp-2026,Crypto,nexploit_evil_cypher.md,D:/CTF/data/writeups/crypto/nexploit_evil_cypher.md,1928,a90b0dbb316dec100c942779690c98e3939abb030111eca50bfcdcf1fafa4107
Nexploit-Evil-Corp-2026,OSINT,nexploit_ghost_in_the_silicon.md,D:/CTF/data/writeups/osint/nexploit_ghost_in_the_silicon.md,1117,48e924c008ff1ea4d03fd5d19e8a4be81c91fcd5d12fd24dbc1a4e0da992f6f1
Nexploit-Evil-Corp-2026,Reverse,nexploit_dark_army_vault.md,D:/CTF/data/writeups/reverse/nexploit_dark_army_vault.md,6835,e9392b0af9074c8668c008ed7033acd2bd09702ea44b013ba0c50277f4508778
Nexploit-Evil-Corp-2026,Reverse,nexploit_ecorp_access_control.md,D:/CTF/data/writeups/reverse/nexploit_ecorp_access_control.md,1405,7a07acc46d354955354f17261833ecd8277f039f42f342af076ef4af2f4800ce
Nexploit-Evil-Corp-2026,Web,nexploit_employee.md,D:/CTF/data/writeups/web/nexploit_employee.md,631,742ee1df7540d646e6a69f6e0dd4efdb2a6af82b1a49f2879489bd0c29e2780c
Nexploit-Evil-Corp-2026,Web,nexploitmini_fsociety_login.md,D:/CTF/data/writeups/web/nexploitmini_fsociety_login.md,2193,a3824d7e603df01aba67062f226626daa5b3aede4672c1d4095d220f45326f9f
NullOrigin-2026,Steganography,nullorigin_31_driftwood.md,D:/CTF/data/writeups/steg/nullorigin_31_driftwood.md,4148,58fa2560690e14a0f34e344f9a39bc02f4230c13c73bd4d652fb87e5d3542d8a
PwnSec-2026,Crypto,pwnsec2026_tap_tap.md,D:/CTF/data/writeups/crypto/pwnsec2026_tap_tap.md,1958,fe041c3f670c38cb68222cfd3b4fa15c26250f4430d5dc60b4d243590125e3fa
PwnSec-2026,Misc,pwnsec2026_ycc.md,D:/CTF/data/writeups/misc/pwnsec2026_ycc.md,2935,cfdf958fcd23c66324744fde5d0598ce4b2e235feede26bec2c40691165f3003
Rootriet,Web,rootriet_ironveil.md,D:/CTF/data/writeups/web/rootriet_ironveil.md,4374,43d556c1a9c52c98fb2df503e644649a7a65b391f1d97f799e8e852aa101381c
SCAN-2026,Web3,scan2026_ch10_tokenlock_overcredit.md,D:/CTF/data/writeups/web3/scan2026_ch10_tokenlock_overcredit.md,4486,fb6d9cd9348fbb56ff61198968fc60256d3b9bb8bb4aac357ac18b57c812004a
SCAN-2026,Web3,scan2026_ch1_flag2_fund_flow.md,D:/CTF/data/writeups/web3/scan2026_ch1_flag2_fund_flow.md,1775,23f1dfc734674547eeb6c0b5151d69747808335d0f74f165fe8f835194d31055
SCAN-2026,Web3,scan2026_ch1_fund_flow.md,D:/CTF/data/writeups/web3/scan2026_ch1_fund_flow.md,2244,4e303a36e119df67e853a148606a6bf8134bc13dd5580a5ee18ba813d0f85721
SCAN-2026,Web3,scan2026_ch2_flag1_funding_service.md,D:/CTF/data/writeups/web3/scan2026_ch2_flag1_funding_service.md,4390,95eef37f307c92e0b02ba8d0f736f849ea8428a6470cee8863cfb869fc58e050
SCAN-2026,Web3,scan2026_ch2_flag2_memo_program.md,D:/CTF/data/writeups/web3/scan2026_ch2_flag2_memo_program.md,2775,c91eeb42a353993e22f123ceab5becc63ff7eff3e456eced7a8ed76da5b4a6a6
SCAN-2026,Web3,scan2026_ch3_drainer.md,D:/CTF/data/writeups/web3/scan2026_ch3_drainer.md,1503,3ee591d37a96897935648d5c1a6223047bf24fb488e131e8a86e81be02e16cbc
SCAN-2026,Web3,scan2026_ch4_ch5_contract_tracing.md,D:/CTF/data/writeups/web3/scan2026_ch4_ch5_contract_tracing.md,2342,d5fac13637605d97382f86cff811272357ae9c528a1c78b8661e8e91cfcf3418
SCAN-2026,Web3,scan2026_ch4_flag2_bytecode_disasm.md,D:/CTF/data/writeups/web3/scan2026_ch4_flag2_bytecode_disasm.md,3809,78cd0c5f3d6d6534c5401c9afa097c015b5a9fc4ec2b95ac4f0f630c77f5cf74
SCAN-2026,Web3,scan2026_ch4_flag3.md,D:/CTF/data/writeups/web3/scan2026_ch4_flag3.md,1901,6b89c32bbdc49870fca664daf5653516048d36c79d06bfea5cb14822b582213f
SCAN-2026,Web3,scan2026_ch4_flag4_contract_count.md,D:/CTF/data/writeups/web3/scan2026_ch4_flag4_contract_count.md,2334,fe723ae3138891c84a0bdde10cabe1339ce7dcb914fd2d334936a5b9ee33d465
SCAN-2026,Web3,scan2026_ch4_flag5_bytecode_families.md,D:/CTF/data/writeups/web3/scan2026_ch4_flag5_bytecode_families.md,2499,7cc9e75921f43c5ce582e202494ef221236fcefb44486cca40b9ef318b07f37a
SCAN-2026,Web3,scan2026_ch4_flag6_setter_count.md,D:/CTF/data/writeups/web3/scan2026_ch4_flag6_setter_count.md,3501,42c28e686d6dbd2e063284e559b5f46a1dc96a3ca155e9b32d3447b185c2d521
SCAN-2026,Web3,scan2026_ch4_flag7_tiers.md,D:/CTF/data/writeups/web3/scan2026_ch4_flag7_tiers.md,3345,62b00a334152b0c50cf912d4b4eee40ec63fc115699fe97eb5633ef0d3613785
SCAN-2026,Web3,scan2026_ch4_flag8_earliest_funding.md,D:/CTF/data/writeups/web3/scan2026_ch4_flag8_earliest_funding.md,3290,495f65aafd0b40f4122585e88ab0157ac95de56f0f809814ccd91dd56b2883e7
SCAN-2026,Web3,scan2026_ch4_flag9_intervals.md,D:/CTF/data/writeups/web3/scan2026_ch4_flag9_intervals.md,3709,43f21b3faafd36f2c5fa0965100f5e711163f87ebaf40c471236a0fa1c8e0120
SCAN-2026,Web3,scan2026_ch5_flag2_multichain.md,D:/CTF/data/writeups/web3/scan2026_ch5_flag2_multichain.md,3176,7a1d03728d4bf098f4a5504a8897e14eed134c8d6083bc946f3e03566d8c0bbb
SCAN-2026,Web3,scan2026_ch5_flag3_operator.md,D:/CTF/data/writeups/web3/scan2026_ch5_flag3_operator.md,3944,57a99daefe655a3a43dd773f6790944c1e35ac613af4216a33a70a08247821c9
SCAN-2026,Web3,scan2026_ch6_flag2_tc_withdrawals.md,D:/CTF/data/writeups/web3/scan2026_ch6_flag2_tc_withdrawals.md,1473,862101f38bacbf9c20ab4686154eee20e559ea3c58ecd66bf9ff62f32cdf6687
